No,都市名,Y(緯度）,X(経度),Yのピクセル,Xのピクセル
43,東京都 東京,35.7090259,139.7319925,161,231
44,東京都 大島,34.7500396,139.3555791,182,225
45,東京都 八丈島,33.1030212,139.8035566,203,230
46,東京都 父島,27.0750533,142.2116025,298,261
47,千葉県 千葉,35.6050574,140.1233063,168,236
48,千葉県 銚子,35.7346813,140.8266406,161,244
49,千葉県 館山,34.9965057,139.8699653,172,232
50,神奈川県 横浜,35.4437078,139.6380256,166,229
51,神奈川県 小田原,35.2645639,139.1521538,168,223
52,長野県 長野,36.6485829,138.1947709,148,211
53,長野県 松本,36.2380381,137.9720341,153,209
54,長野県 飯田,35.5149777,137.8214466,164,207
55,山梨県 甲府,35.66228,138.5682015,162,216
56,山梨県 河口湖,35.4973137,138.7550838,164,218
57,静岡県 静岡,34.9771201,138.3830845,172,214
58,静岡県 網代,35.0484388,139.0915361,171,223
59,静岡県 三島,35.1184025,138.9185126,170,221
60,静岡県 浜松,34.7108344,137.7261258,176,206
61,愛知県 名古屋,35.1814464,136.906398,170,195
62,愛知県 豊橋,34.7691995,137.3914662,176,201
63,岐阜県 岐阜,35.4232984,136.7606537,166,194
64,岐阜県 高山,36.1461236,137.2521729,155,200
65,三重県 津,34.718596,136.5056975,176,190
66,三重県 尾鷲,34.0707989,136.1909953,186,186
67,新潟県 新潟,37.9025518,139.0230946,129,222
68,新潟県 長岡,37.4462652,138.8512772,134,220
69,新潟県 高田,37.1042625,138.2560998,147,212
70,新潟県 相川,37.179519,138.250289,144,212
71,富山県 富山,36.6952907,137.2113383,151,199
72,富山県 伏木,36.78994,137.0569881,150,197
73,石川県 金沢,36.5613254,136.6562051,154,192
74,石川県 輪島,37.3905901,136.8991957,138,195
75,福井県 福井,36.0651779,136.2215269,158,187
76,福井県 敦賀,35.6452443,136.0554408,162,185
77,滋賀県 大津,35.0178929,135.8546074,172,182
78,滋賀県 彦根,35.274461,136.2596226,168,187
79,京都府 舞鶴,35.4747971,135.3859918,170,176
80,京都府 京都,35.0212466,135.7555968,172,181
81,大阪府 大阪,34.6862971,135.5196609,177,178
82,兵庫県 神戸,34.690083,135.1955112,177,174
83,兵庫県 豊岡,35.5445754,134.8201814,164,169
84,奈良県 奈良,34.6850869,135.8050002,178,182
85,奈良県 風屋,34.043805,135.7817794,187,181
86,和歌山県 和歌山,34.2305113,135.1708083,184,174
87,和歌山県 潮岬,33.4479784,135.7614191,196,181
88,岡山県 岡山,34.6617511,133.9344057,178,158
89,岡山県 津山,35.0691155,134.0045428,171,159
90,広島県 広島,34.3965603,132.4596225,181,139
91,広島県 庄原,34.8577316,133.0172775,175,147
92,島根県 松江,35.4680595,133.048375,172,147
93,島根県 浜田,34.8993025,132.0797833,173,135
94,島根県 西郷,35.4343758,132.8078732,166,144
95,鳥取県 鳥取,35.5038906,134.2377356,169,162
96,鳥取県 米子,35.4280717,133.3309447,166,150
97,徳島県 徳島,34.0702703,134.5548438,191,163
98,徳島県 日和佐,33.728915,134.530537,196,163
99,香川県 高松,34.3427879,134.046574,189,160
100,愛媛県 松山,33.8391574,132.7655752,193,143
101,愛媛県 新居浜,33.9602895,133.2833512,188,150
102,愛媛県 宇和島,33.2233404,132.5605575,199,141
103,高知県 高知,33.5595867,133.5292788,195,153
104,高知県 室戸岬,33.2680092,134.1641616,199,151
105,高知県 清水,32.7816335,132.9549889,210,143
106,山口県 下関,33.9578307,130.941459,189,120
107,山口県 山口,34.1859563,131.4706493,185,127
108,山口県 柳井,33.9638333,132.1015969,190,133
109,山口県 萩,34.4081155,131.3990849,182,126
110,福岡県 福岡,33.5903547,130.4017155,199,113
111,福岡県 八幡,33.869238,130.795365,195,118
112,福岡県 飯塚,33.6459075,130.6915113,200,117
113,福岡県 久留米,33.3192865,130.5083735,198,115
114,大分県 大分,33.2381718,131.6126189,204,128
115,大分県 中津,33.5982211,131.1883247,201,123
116,大分県 日田,33.3213327,130.9409659,198,120
117,大分県 佐伯,32.959806,131.9000575,204,132
118,長崎県 長崎,32.7502856,129.877667,213,107
119,長崎県 佐世保,33.1799153,129.7151101,205,106
120,長崎県 厳原,34.202646,129.287521,188,100
121,長崎県 福江,32.7018615,128.7577605,207,93
122,佐賀県 佐賀,33.2494416,130.2997942,200,112
123,佐賀県 伊万里,33.2645856,129.880269,199,107
124,熊本県 熊本,32.789827,130.7416672,206,118
125,熊本県 阿蘇乙姫,32.9434447,131.0434341,204,122
126,熊本県 牛深,32.1906829,130.0262228,222,111
127,熊本県 人吉,32.2100405,130.7625544,216,118
128,宮崎県 宮崎,31.9110956,131.4238934,223,124
129,宮崎県 延岡,32.5822723,131.6650094,210,129
130,宮崎県 都城,31.7195903,131.0616214,223,122
131,宮崎県 高千穂,32.71169,131.3077866,209,125
132,鹿児島県 名瀬,28.367285,129.500979,278,99
133,鹿児島県 鹿児島,31.5965535,130.5571158,229,113
134,鹿児島県 鹿屋,31.3782921,130.8520774,229,119
135,鹿児島県 種子島,30.609558,130.9788775,248,117
136,沖縄県 那覇,26.2123124,127.6791568,312,76
137,沖縄県 名護,26.5915465,127.9773162,303,83
138,沖縄県 久米島,26.3503959,126.7711774,309,66
139,沖縄県 南大東島,25.8288983,131.2318762,318,124
140,沖縄県 宮古島,24.80549,125.2811486,331,48
141,沖縄県 石垣島,24.4064027,124.1754442,342,34
142,沖縄県 与那国町,24.4679685,123.0044532,342,19
